series,metric,tokens,value
baseline,train_loss,444751569,3.177558
baseline,train_loss,445788286,3.170231
baseline,train_loss,446825003,3.194835
baseline,train_loss,447861720,3.224494
baseline,train_loss,448898437,3.162104
baseline,train_loss,449935153,3.195447
baseline,train_loss,450971870,3.206702
baseline,train_loss,452008587,3.214063
baseline,train_loss,453045304,3.239775
baseline,train_loss,454082021,3.227724
baseline,train_loss,455118738,3.233297
baseline,train_loss,456155455,3.178809
baseline,train_loss,457192172,3.158612
baseline,train_loss,458228889,3.184712
baseline,train_loss,459265606,3.134578
baseline,train_loss,460302323,3.181309
baseline,train_loss,461339040,3.145579
baseline,train_loss,462375757,3.146839
baseline,train_loss,463412474,3.128510
baseline,train_loss,464449191,3.162911
baseline,train_loss,465485908,3.240563
baseline,train_loss,466522625,3.124329
baseline,train_loss,467559342,3.166870
baseline,train_loss,468596058,3.169148
baseline,train_loss,469632775,3.183924
baseline,train_loss,470669492,3.195669
baseline,train_loss,471706209,3.230512
baseline,train_loss,472742926,3.165611
baseline,train_loss,473779643,3.129174
baseline,train_loss,474816360,3.165805
baseline,train_loss,475853077,3.128158
baseline,train_loss,476889794,3.214713
baseline,train_loss,477926511,3.178088
baseline,train_loss,478963228,3.181010
baseline,train_loss,479999945,3.202002
baseline,train_loss,481036662,3.167306
baseline,train_loss,482073379,3.157146
baseline,train_loss,483110096,3.139869
baseline,train_loss,484146813,3.185546
baseline,train_loss,485183530,3.140563
baseline,train_loss,486220246,3.102298
baseline,train_loss,487256963,3.166008
baseline,train_loss,488293680,3.160155
baseline,train_loss,489330397,3.171374
baseline,train_loss,490367114,3.155671
baseline,train_loss,491403831,3.186250
baseline,train_loss,492440548,3.163743
baseline,train_loss,493477265,3.143589
baseline,train_loss,494513982,3.122432
baseline,train_loss,495550699,3.161978
baseline,train_loss,496587416,3.194354
baseline,train_loss,497624133,3.144818
baseline,train_loss,498660850,3.187220
baseline,train_loss,499697567,3.180218
baseline,train_loss,500734284,3.149979
baseline,train_loss,501771001,3.158776
baseline,train_loss,502807718,3.122513
baseline,train_loss,503844435,3.173147
baseline,train_loss,504881151,3.117036
baseline,train_loss,505917868,3.144753
baseline,train_loss,506954585,3.132329
baseline,train_loss,507991302,3.162335
baseline,train_loss,509028019,3.137715
baseline,train_loss,510064736,3.194518
baseline,train_loss,511101453,3.127392
baseline,train_loss,512138170,3.130545
baseline,train_loss,513174887,3.150571
baseline,train_loss,514211604,3.131855
baseline,train_loss,515248321,3.118998
baseline,train_loss,516285038,3.136207
baseline,train_loss,517321755,3.106446
baseline,train_loss,518358472,3.098160
baseline,train_loss,519395189,3.121338
baseline,eval_loss,10367169,6.962890
baseline,eval_loss,20734339,6.054993
baseline,eval_loss,31101508,5.426656
baseline,eval_loss,41468678,5.066206
baseline,eval_loss,51835847,4.811540
baseline,eval_loss,62203017,4.596407
baseline,eval_loss,72570186,4.442954
baseline,eval_loss,82937355,4.318883
baseline,eval_loss,93304525,4.211304
baseline,eval_loss,103671694,4.129969
baseline,eval_loss,114038864,4.035175
baseline,eval_loss,124406033,3.985389
baseline,eval_loss,134773203,3.933167
baseline,eval_loss,145140372,3.872323
baseline,eval_loss,155507542,3.810651
baseline,eval_loss,165874711,3.753270
baseline,eval_loss,176241880,3.663726
baseline,eval_loss,186609050,3.617551
baseline,eval_loss,196976219,3.564648
baseline,eval_loss,207343389,3.517796
baseline,eval_loss,217710558,3.488867
baseline,eval_loss,228077728,3.462339
baseline,eval_loss,238444897,3.437721
baseline,eval_loss,248812066,3.420401
baseline,eval_loss,259179236,3.403861
baseline,eval_loss,269546405,3.384729
baseline,eval_loss,279913575,3.370325
baseline,eval_loss,290280744,3.354627
baseline,eval_loss,300647914,3.339256
baseline,eval_loss,311015083,3.323753
baseline,eval_loss,321382252,3.309180
baseline,eval_loss,331749422,3.291702
baseline,eval_loss,342116591,3.288476
