series,metric,mtokens,value
baseline,grad_norm,401.3310,0.399900
baseline,grad_norm,405.4685,0.413100
baseline,grad_norm,409.6059,0.401900
baseline,grad_norm,413.7433,0.401000
baseline,grad_norm,417.8808,0.389700
baseline,grad_norm,422.0182,0.400600
baseline,grad_norm,426.1556,0.395700
baseline,grad_norm,430.2931,0.387200
baseline,grad_norm,434.4305,0.408800
baseline,grad_norm,438.5679,0.408600
baseline,grad_norm,442.7054,0.383100
baseline,grad_norm,446.8428,0.395900
baseline,grad_norm,450.9802,0.413200
baseline,grad_norm,455.1177,0.390600
baseline,grad_norm,459.2551,0.399900
baseline,grad_norm,463.3925,0.384900
baseline,grad_norm,467.5300,0.425400
baseline,grad_norm,471.6674,0.406000
baseline,grad_norm,475.8048,0.376500
baseline,grad_norm,479.9423,0.380500
baseline,grad_norm,484.0797,0.371400
baseline,grad_norm,488.2171,0.384000
baseline,grad_norm,492.3546,0.396900
baseline,grad_norm,496.4920,0.381500
baseline,grad_norm,500.6294,0.375700
baseline,grad_norm,504.7669,0.379700
baseline,grad_norm,508.9043,0.400100
baseline,grad_norm,513.0417,0.386700
baseline,grad_norm,517.1792,0.409200
baseline,grad_norm,521.3166,0.371100
baseline,grad_norm,525.4540,0.384200
baseline,grad_norm,529.5915,0.381600
baseline,grad_norm,533.7289,0.367100
baseline,grad_norm,537.8663,0.376900
